년도,월,구단명,승,패,볼넷/이닝,BA(타율),OBP(출루율),SLG(장타율),ERA(평균자책점)
2021,7,4,2,2,11/36,0.24,0.342,0.295,3.5
2021,7,3,5,2,24/62,0.289,0.357,0.455,3.19
2021,7,9,6,0,23/56,0.294,0.362,0.453,2.09
2021,8,6,4,9,53/128.2,0.265,0.326,0.451,5.67
2021,8,9,5,5,53/123,0.228,0.339,0.343,5.41
2021,8,2,6,8,74/136.1,0.254,0.321,0.396,5.35
2021,8,3,7,8,54/146,0.246,0.338,0.335,4.5
2021,8,10,7,7,72/158,0.231,0.331,0.331,4.33
2021,8,7,6,7,54/129,0.265,0.347,0.396,4.33
2021,8,8,8,6,69/138.1,0.241,0.331,0.339,4.03
2021,8,5,8,8,69/147,0.234,0.317,0.333,3.73
2021,8,1,10,7,61/155,0.268,0.358,0.384,3.54
2021,8,4,9,5,49/141,0.261,0.345,0.372,2.94
2021,9,8,14,12,127/235.2,0.286,0.362,0.403,5.73
2021,9,6,10,12,106/234,0.28,0.361,0.415,5.62
2021,9,5,11,10,97/217.2,0.265,0.344,0.382,4.92
2021,9,10,8,13,104/225,0.263,0.361,0.373,4.92
2021,9,9,8,18,97/240,0.236,0.321,0.33,4.58
2021,9,3,13,8,86/230,0.27,0.347,0.433,4.38
2021,9,4,10,11,110/210,0.253,0.328,0.36,4.37
2021,9,7,13,15,90/240,0.243,0.312,0.392,4.35
2021,9,2,16,8,99/238,0.272,0.349,0.407,3.29
2021,9,1,13,9,66/229.2,0.256,0.34,0.362,2.82
2021,10,8,10,9,111/205,0.291,0.346,0.413,4.96
2021,10,5,10,10,80/188,0.265,0.334,0.375,4.6
2021,10,3,11,9,69/180,0.246,0.322,0.343,4.3
2021,10,7,11,11,117/239,0.243,0.315,0.366,4.26
2021,10,2,13,10,115/229,0.251,0.341,0.339,4.21
2021,10,10,5,13,82/185,0.219,0.318,0.31,4.18
2021,10,9,14,10,100/248,0.264,0.345,0.341,3.96
2021,10,6,10,7,84/194.2,0.248,0.354,0.413,3.47
2021,10,1,8,13,75/215,0.262,0.35,0.364,3.18
2021,10,4,10,10,98/258,0.233,0.327,0.309,3
2022,4,7,8,17,90/221.2,0.23,0.304,0.314,4.22
2022,4,10,9,16,92/216,0.225,0.309,0.309,4
2022,4,3,10,15,72/218,0.239,0.306,0.331,3.84
2022,4,1,11,13,43/213,0.244,0.318,0.339,3.51
2022,4,9,10,14,74/209,0.261,0.34,0.369,3.49
2022,4,2,13,11,92/218.2,0.243,0.315,0.317,3.46
2022,4,4,14,11,89/225,0.249,0.316,0.358,3.28
2022,4,5,14,11,73/227,0.231,0.305,0.351,3.09
2022,4,8,14,9,84/219.1,0.265,0.323,0.375,3
2022,4,6,19,5,79/228,0.242,0.324,0.356,2.61
2022,5,10,10,16,96/228,0.251,0.318,0.387,6.51
2022,5,8,9,17,88/227.1,0.242,0.301,0.361,4.83
2022,5,4,14,12,98/230.2,0.279,0.354,0.415,4.25
2022,5,7,9,17,106/228.2,0.271,0.343,0.407,4.25
2022,5,6,15,10,89/235.2,0.265,0.345,0.404,4.16
2022,5,2,11,13,101/225,0.259,0.339,0.359,4.12
2022,5,9,18,8,74/232,0.284,0.371,0.447,4.11
2022,5,1,11,15,70/233.2,0.248,0.332,0.346,3.93
2022,5,3,14,11,89/226,0.276,0.335,0.398,3.7
2022,5,5,17,9,94/234.2,0.257,0.332,0.385,3.18
